Object,serverPath,fileName,tooltip,userFriendlyName,enablable,version,dependencies,updateDefault,launcherVersionRequired,inferFrom,localPath,Changelog,hash
BLCMM,,BLCMM.jar,,BLC Mod Manager,True,1.2.0,BLCMM_Utilities;BLCMM_Resources;DataInteractor,True,1, ,/BLCMM/, ,b046bc16f107b9a9a482c3656436f250e3b5952f7a9a9f060964b0fb74c55eed
BLCMMB,,BLCMMB.jar,,BLC Mod Manager Beta,False,1.0.0,BLCMM_Utilities;BLCMM_Resources;DataInteractor,False,1, ,/BLCMM/, ,3362e7bec68e0a891cf9e16dd077fc7dcccab8a472c3459d4732e14c5d94a962
BLCMM_Launcher,,BLCMM_Launcher.jar,,Hidden Launcher updater - always enabled,False,1.1.5,,True,1,BLCMM,/BLCMM/launcher/,,a0b77a0b76a735e92cef31056b69a3e6d451395ea2a61c381e6663deb3d9d820
BLCMM_Launcher_exe,,BLCMM_Launcher.exe,,Hidden Launcher updater - always enabled,False,1.1.5,,True,1,BLCMM,/BLCMM/launcher/,,2f621d8a0b1ee111899331f94119d075c7025538d8620e2e989428d0baaf543c
BLCMM_Utilities,Libraries/,BLCMM_Utilities.jar,,Hidden utilities updater - always enabled,False,1.2.0,,True,1,BLCMM,/BLCMM/lib/,,2722ecaaf55ee5681aa857664ea7dad2de2204ab6794589d7446a1d4d28c172d
BLCMM_Resources,Libraries/,BLCMM_Resources.jar,,Hidden resources updater - always enabled,False,1.2.0,,True,1,BLCMM,/BLCMM/lib/,,f40fc4f1c46236f7d914618ca46c8e78858b39601fb444e7f92d7406430b845a
DataInteractor,Libraries/,BLCMM_Data_Interaction_Library.jar,,Data Library,False,1.2.0,BLCMM,True,1,BLCMM,/BLCMM/lib/,,b2b3eac2c66c5158d595e6fd867c11eb18be5dbf295cce8ec6f053ce71202204
Multitool,MultiTool/,BorderlandsHexMultitool.exe;BorderlandsHexMultitool.exe.config;readme.txt;LICENSES.txt;CustomPatches/UVHM Level Modifier.txt;CustomPatches/CustomPatch Readme.txt;CustomPatches/UVHM Level Modifier UHD.txt;CustomPatches/UVHM Level Modifier DLC.txt;CustomPatches/UVHM Level Modifier TPS UHD.txt;CustomPatches/UVHM Level Modifier TPS.txt,,The Hex Multitool by c0dycode,True,1.33, ,False,1, ,/BLCMM/multitool/, ,7cd74284c81a476fb4e23a0043ddea36f1dcb5fbd77c64037ab5f2666a9d0db4;e7b9d889550ade01cfc4c2c7a9131d7e265db2eeb12506729d51790ed9167144;f0d834510d6e1988c2dc62fe25dcffd45c3151a1bd90805c7f0ef49d470f2695;b370b8914f41fb70bd406298eb60ec4520c770b275c104e860bd6b7c4d232695;ff26366a300711760d2cc5390ba13a9345ed8f9d6d32bbc9fcd9b19cc28a00d5;5597df9dbc9845b3c31e44f4cc13d21587fa54c46b87104de263c97b49aaec9d;2cdca94f5a3825e69649e5b7bd7195c3e2694390c183aa29d8657d695e16ea12;f330f02ba48f8013012b818661e164b5905cb34b4e54d9ff7952f9f3f69b77ab;d490548d538e13b775a90019ef12bf87e8a5057675d69c9eab35e92910fa8f36;bf53233ccf57ece02ce49ce1a90e88f61380dc2ee238ea6bc2fa2cc6c0cfab0a
BLCMM_Data_BL2_Indices,Data/BL2/,BLCMM_Data_BL2_Indices.jar,,Hidden BL2 index,False,1.2.0,DataInteractor,True,1,BLCMM,/BLCMM/data/BL2/,,ab4e30074f56d4c59b202e11575956f7584d24f060d30c0a3c5dddbb14a8289b
BLCMM_Data_BL2_Actions,Data/BL2/,BLCMM_Data_BL2_Actions.jar,,Actions object data for BL2,True,1.2.0,DataInteractor,False,1, ,/BLCMM/data/BL2/, ,ccd79b2970fc50e39fea6aacb7a555d80d5bfa7da952ae72a89bac0815069d87
